"Sex","Age","Marital.status","Number.of.children","Years.of.education","Managerial.position","Work.hours","Full.time","Income","BWAS1","BWAS2","BWAS3","BWAS4","BWAS5","BWAS6","BWAS7","UWES1","UWES2","UWES3","UWES4","UWES5","UWES6","UWES7","UWES8","UWES9","MBI1","MBI2","MBI3","MBI4","MBI5","MBI6","MBI7","MBI8","MBI9","MBI10","MBI11","MBI12","MBI13","MBI14","MBI15","MBI16","PSS1","PSS2","PSS3","PSS4","PSS5","PSS6","PSS7","PSS8","PSS9","PSS10"
1,35,1,3,11,"Non managarial",40,1,NA,1,1,1,1,1,1,1,4,4,5,6,5,0,5,0,0,5,1,6,5,7,1,5,1,1,1,1,1,5,NA,1,7,4,3,3,3,3,3,3,3,3,3
NA,60,1,3,26,NA,40,1,26400,5,4,1,1,2,3,1,5,5,6,5,6,5,5,5,1,6,7,NA,6,7,2,7,1,2,6,6,7,7,1,1,7,2,2,2,3,4,3,3,4,3,2
1,67,1,3,25,"Lower managarial",20,0,48000,2,4,4,4,2,3,3,6,6,6,5,NA,6,6,6,6,1,3,1,1,7,1,7,1,1,7,6,7,2,1,1,7,2,1,2,5,4,1,5,5,3,2
0,41,1,3,24,"Non managarial",NA,1,NA,1,2,1,1,2,2,1,6,6,6,6,6,6,NA,5,5,1,2,1,1,6,1,4,1,1,2,5,1,5,1,1,3,3,1,3,4,4,3,4,4,2,2
1,46,1,2,23,NA,40,1,60000,2,1,1,4,1,1,1,4,5,6,3,5,4,5,NA,0,2,3,3,3,7,2,2,1,3,6,6,6,7,2,2,7,4,3,5,3,4,4,4,3,4,3
1,46,1,3,23,NA,40,1,NA,1,3,1,1,1,2,1,1,1,6,5,5,3,3,2,0,2,2,3,2,2,2,3,1,2,3,3,3,4,3,1,7,1,1,2,4,4,2,2,3,1,1
0,66,1,3,22,"High managarial",77,1,80000,4,4,1,5,5,4,1,0,6,6,6,6,6,6,6,6,1,1,1,1,6,1,1,1,1,7,7,6,7,1,1,7,1,2,2,1,4,4,5,3,2,3
1,35,1,3,20.5,NA,50,1,28800,3,4,2,1,1,2,2,5,5,4,4,5,5,5,4,3,3,4,2,2,7,2,2,1,2,5,6,3,NA,2,1,2,3,3,4,3,4,3,3,4,3,2
1,NA,0,3,20,NA,52,1,NA,4,4,4,4,3,4,4,5,5,6,5,NA,4,6,6,5,2,6,6,6,6,1,6,1,1,6,7,4,7,1,1,7,2,2,2,5,4,2,5,4,2,2
0,50,1,3,20,"High managarial",53,1,140000,2,3,1,2,1,3,1,3,3,3,NA,5,3,3,5,0,2,2,3,3,7,2,4,1,2,4,3,3,4,2,2,4,2,3,3,4,4,3,3,3,3,3
1,29,1,1,20,"Non managarial",52,1,36000,4,4,2,4,2,4,2,4,5,5,4,3,4,NA,5,4,3,5,5,3,6,3,4,3,3,5,5,4,4,3,2,6,3,2,3,5,4,2,2,4,2,2
0,40,1,3,19,"Lower managarial",50,1,120000,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,6,1,1,7,7,6,7,NA,1,7,2,2,3,5,4,2,4,4,3,1
1,37,1,2,19,NA,40,NA,NA,3,3,1,2,3,3,2,5,5,5,5,5,5,5,5,5,3,4,2,1,7,2,4,NA,2,6,6,6,2,2,2,6,4,3,3,3,3,3,4,2,3,3
1,35,1,3,19,"Non managarial",40,1,40000,2,2,2,2,2,1,1,4,3,4,NA,5,4,2,3,3,2,2,2,1,7,1,5,6,4,4,4,5,5,4,4,6,2,2,2,4,4,3,3,2,2,1
1,56,0,1,18,"Middle managarial",65,1,150000,2,4,2,4,3,5,5,2,3,3,2,2,2,3,3,2,NA,4,3,2,4,3,5,2,3,5,5,6,6,5,3,4,3,2,4,4,3,3,5,5,5,3
1,37,1,2,18,"Lower managarial",40,1,43400,4,3,4,4,4,4,4,5,5,6,6,5,6,6,6,6,2,2,1,1,7,1,7,1,1,7,7,3,7,1,1,7,4,4,4,4,4,2,4,4,4,4
1,31,1,3,18,"Non managarial",40,1,36000,3,2,1,2,2,1,2,4,5,5,3,5,NA,5,5,4,1,6,1,1,6,1,4,1,1,6,6,4,4,4,1,6,3,2,3,5,4,2,4,4,4,4
1,24,0,1,18,"Non managarial",47,1,10000,3,2,2,2,2,4,2,4,3,6,2,6,NA,3,3,3,3,2,6,2,7,5,3,6,6,7,6,7,3,7,6,7,3,3,3,5,3,3,5,4,5,1
1,47,1,3,18,NA,30,1,NA,1,4,1,2,1,1,2,5,NA,6,3,5,0,6,5,0,6,5,5,4,7,1,4,1,3,6,5,3,7,4,2,6,3,3,4,4,5,2,3,4,3,2
0,31,1,1,18,NA,42,0,50000,1,2,1,1,1,4,1,4,3,3,1,1,1,4,3,1,4,3,1,1,6,2,7,1,1,7,7,6,3,5,5,NA,3,3,4,5,5,4,4,4,5,2
1,36,1,3,17,"Lower managarial",40,1,NA,2,2,2,2,2,2,2,5,5,5,3,5,0,5,5,0,3,6,4,4,5,3,6,2,4,6,5,4,3,NA,2,5,3,2,3,4,4,2,4,4,3,2
1,57,0,2,17,NA,42,1,42000,3,4,2,3,2,4,3,5,5,6,5,6,3,6,5,5,3,5,1,2,6,2,4,1,1,7,6,6,NA,1,1,6,3,1,2,4,4,2,4,4,2,2
1,45,1,4,17,"Non managarial",40,1,56000,3,3,2,1,1,1,1,3,3,3,1,1,3,2,1,2,2,3,2,2,6,1,6,NA,2,4,6,4,7,1,1,6,2,1,2,4,4,3,4,4,2,2
1,24,1,NA,17,"Non managarial",25,0,11000,1,3,2,3,1,4,4,4,4,6,3,2,2,5,6,4,4,4,4,3,5,4,5,1,2,2,6,6,7,4,1,7,2,4,3,4,4,2,3,4,3,2
1,31,1,2,16,"Lower managarial",40,1,42000,3,4,3,4,4,3,3,5,5,5,4,5,5,4,3,3,2,4,1,NA,5,4,4,1,2,5,7,6,3,2,4,6,4,3,4,2,3,2,3,2,2,3
1,29,1,3,15,NA,70,1,55000,3,4,3,4,2,3,4,6,5,5,5,5,5,5,5,5,4,4,3,3,NA,2,6,2,2,6,7,6,4,2,2,6,3,4,3,3,3,3,5,4,4,3
